,baseMean,log2FoldChange,lfcSE,pvalue,padj
NM_031533,15469.72697,-9.763029773,0.365498642,2.33E-157,2.56E-153
NM_053365,539.1577551,4.562002793,0.223691947,1.57E-93,8.65E-90
NM_001009353,440.3579085,5.031805926,0.256571119,1.69E-86,4.65E-83
NM_022521,7057.762875,-4.018720632,0.205340529,1.65E-86,4.65E-83
NM_012623,6147.653456,7.115152178,0.388877538,2.94E-76,6.48E-73
NM_001191609,879.5339406,4.189409719,0.234628104,1.38E-72,2.53E-69
NM_012580,5179.104451,3.5304278,0.204155528,2.62E-68,4.12E-65
NM_001025675,756.3779491,3.468208852,0.20523041,4.32E-65,5.95E-62
NM_145672,1332.125148,4.057509606,0.254287623,2.28E-58,2.79E-55
NM_053734,1004.992817,3.42864204,0.218736415,2.09E-56,2.30E-53
