,baseMean,log2FoldChange,lfcSE,pvalue,padj
NM_019292,61520.41767,-10.08069669,0.252815324,0,0
NM_013033,5224.350712,8.70403332,0.276706775,2.05E-217,1.13E-213
NM_053699,2730.182455,9.577301427,0.325044138,1.12E-191,4.12E-188
NM_001108542,978.4827355,6.844639059,0.258681818,1.29E-154,3.56E-151
NM_001271220,836.1103408,7.370920089,0.280096111,9.52E-153,2.10E-149
NM_031048,32025.92415,6.7672321,0.303051031,2.59E-111,4.75E-108
NM_173136,3738.61787,8.703598733,0.422880576,3.16E-95,4.97E-92
NM_001100661,18668.18937,3.447764053,0.173042897,1.74E-89,2.40E-86
NM_001080756,354.6875533,5.9835256,0.300778733,4.02E-89,4.92E-86
NM_053445,35712.88079,-3.692946534,0.186801576,1.56E-88,1.71E-85
